Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
29-07-2011,WIPRO,EQ,395,391.55,400,388,390.9,389.3,393.07,1097964,4.32E+13,31572,567617,0.517
01-08-2011,WIPRO,EQ,389.3,391.5,397.2,387,393.05,391.9,392.05,498158,1.95E+13,13341,201054,0.4036
02-08-2011,WIPRO,EQ,391.9,391.05,391.9,382.1,384.1,383.45,384.47,862653,3.32E+13,18568,507142,0.5879
03-08-2011,WIPRO,EQ,383.45,379,385,376,381,381.2,381.5,1265118,4.83E+13,26322,893946,0.7066
04-08-2011,WIPRO,EQ,381.2,379.65,383.65,375,376.5,375.7,379.87,1077137,4.09E+13,27461,685156,0.6361
05-08-2011,WIPRO,EQ,375.7,362.05,370.7,359.05,369.65,367.3,366.02,1343064,4.92E+13,25129,739568,0.5507
08-08-2011,WIPRO,EQ,367.3,355,360.4,337,359.35,357.85,352.36,2845336,1.00E+14,42554,1428263,0.502
09-08-2011,WIPRO,EQ,357.85,340.1,352.1,338.3,349.4,346.75,345.4,3496937,1.21E+14,36090,2263090,0.6472
09-08-2011,WIPRO,EQ,357.85,340.1,352.1,338.3,349.4,346.75,345.4,3496937,1.21E+14,36090,2263090,0.6472
10-08-2011,WIPRO,EQ,346.75,353,358.3,349.15,355,354.9,354.29,2147642,7.61E+13,31750,1397300,0.6506
11-08-2011,WIPRO,EQ,354.9,349,356.7,347.55,353,352.9,352.81,1240189,4.38E+13,22112,720702,0.5811
12-08-2011,WIPRO,EQ,352.9,356,357.7,337,342.9,342.95,343.32,1871808,6.43E+13,30027,1109700,0.5928
16-08-2011,WIPRO,EQ,342.95,345,348.85,336.7,342,340.4,341.63,957227,3.27E+13,17046,640659,0.6693
17-08-2011,WIPRO,EQ,340.4,338,352.25,338,345,344.3,345.85,1644316,5.69E+13,21666,860228,0.5232
18-08-2011,WIPRO,EQ,344.3,345,345.5,323.95,325,328.15,330.93,2396107,7.93E+13,35624,1475770,0.6159
19-08-2011,WIPRO,EQ,328.15,320,327.95,310.5,319.95,320.35,320.84,1561982,5.01E+13,28594,624814,0.4
22-08-2011,WIPRO,EQ,320.35,317.6,337.45,315.1,331.5,332.35,326.06,1044871,3.41E+13,18138,361280,0.3458
23-08-2011,WIPRO,EQ,332.35,335,338,320.7,333.9,332.95,331.54,1128510,3.74E+13,21059,314004,0.2782
24-08-2011,WIPRO,EQ,332.95,333,335,326.2,329.05,329.85,329.66,1277305,4.21E+13,19333,828189,0.6484
25-08-2011,WIPRO,EQ,329.85,331.8,332.9,325.25,329.5,328.2,328.73,1861202,6.12E+13,23342,1216882,0.6538
26-08-2011,WIPRO,EQ,328.2,326.6,330.75,316.4,320,319.75,321.29,1005526,3.23E+13,19793,555638,0.5526
29-08-2011,WIPRO,EQ,319.75,323.15,335.75,323.15,328.5,328.9,329.69,1250607,4.12E+13,20402,643090,0.5142
30-08-2011,WIPRO,EQ,328.9,334.4,338.4,325.6,334.75,335.25,332.04,1382316,4.59E+13,23404,725936,0.5252
02-09-2011,WIPRO,EQ,335.25,345.1,352.95,328.6,334.5,334.35,335.32,1530898,5.13E+13,27681,789966,0.516
05-09-2011,WIPRO,EQ,334.35,330,333.3,320,320.9,321.75,326.2,2732319,8.91E+13,30157,1958251,0.7167
06-09-2011,WIPRO,EQ,321.75,320,330,312.3,326,323.05,322.36,2041335,6.58E+13,43687,978435,0.4793
07-09-2011,WIPRO,EQ,323.05,326.6,330.95,326.1,329.8,329.55,329.02,1529887,5.03E+13,24323,1051198,0.6871
08-09-2011,WIPRO,EQ,329.55,330.05,344,330.05,338,338.15,339.94,2213315,7.52E+13,38589,1244711,0.5624
09-09-2011,WIPRO,EQ,338.15,338.25,342,332.3,335.2,338.35,337.1,1805002,6.08E+13,24449,1200394,0.665
12-09-2011,WIPRO,EQ,338.35,329,332.3,323,323.7,325.2,327.98,1758591,5.77E+13,28350,1260516,0.7168
13-09-2011,WIPRO,EQ,325.2,327.8,333.6,323.35,327.7,329.1,329.64,1112311,3.67E+13,21739,466159,0.4191
14-09-2011,WIPRO,EQ,329.1,330.1,346.4,326.35,343.45,342.4,338.51,2230979,7.55E+13,46396,1070925,0.48
15-09-2011,WIPRO,EQ,342.4,346.1,350,339,345.5,348.2,345.92,1859718,6.43E+13,40017,777691,0.4182
16-09-2011,WIPRO,EQ,348.2,349.2,354.35,337.75,338.65,338.75,347.43,1500083,5.21E+13,36040,681530,0.4543
19-09-2011,WIPRO,EQ,338.75,339,344.8,337,344,341,341.19,958745,3.27E+13,24634,497294,0.5187
20-09-2011,WIPRO,EQ,341,341.95,355,340.2,351.9,350.95,350.33,2080017,7.29E+13,45602,1145947,0.5509
21-09-2011,WIPRO,EQ,350.95,351.9,359.95,351.1,356.5,356.65,356.1,1708409,6.08E+13,44512,865896,0.5068
22-09-2011,WIPRO,EQ,356.65,350.75,352.7,337.15,340.5,340.35,347.88,1568181,5.46E+13,28290,850490,0.5423
23-09-2011,WIPRO,EQ,340.35,338,348.9,334.3,336.3,339.5,342.77,1964088,6.73E+13,40033,856952,0.4363
26-09-2011,WIPRO,EQ,339.5,340.35,346.5,337.2,340.4,340.05,341.53,1651135,5.64E+13,36361,783458,0.4745
27-09-2011,WIPRO,EQ,340.05,343.3,353.8,343,351,348.2,349.16,1847884,6.45E+13,26983,1150883,0.6228
28-09-2011,WIPRO,EQ,348.2,351.4,358.4,345.15,347.6,347.55,351.56,1853049,6.51E+13,33979,1030754,0.5562
29-09-2011,WIPRO,EQ,347.55,346,350,342.25,349,347.6,346.9,1298387,4.50E+13,20191,757401,0.5833
30-09-2011,WIPRO,EQ,347.6,348.5,352.8,335.1,340,340.8,343.34,1208078,4.15E+13,30956,500885,0.4146
